id,song_num,page_num,catalogue_num,performers,performer_genders,bpm_voice,bpm_drum,bpm,beat_duration,meters,voice_use,instrument_use,percussion_use,instrumentation,lyrics,free_translation,tonality,comments
menominee106,106,182,1560,David Amab (Wa'nĭskûm),male,56,,56,1,2/4|3/8,TRUE,FALSE,FALSE,voice,,,,
menominee107,107,182,1561,David Amab (Wa'nĭskûm),male,100,,100,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee108,108,184,1839,David Amab (Wa'nĭskûm),male,120,,120,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee109,109,185,1645,Louis Pigeon (Tcik'wa),male,104,,104,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee110,110,186,1837,David Amab (Wa'nĭskûm),male,126,,126,1,2/4|3/4,TRUE,FALSE,FALSE,voice,,,,
menominee111,111,186,1833,Louis Pigeon (Tcik'wa),male,88,,88,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee112,112,187,1834,Louis Pigeon (Tcik'wa),male,116,,116,1,2/4|5/8,TRUE,FALSE,FALSE,voice,,,,
menominee113,113,188,1838,David Amab (Wa'nĭskûm),male,116,,116,1,3/4|2/4,TRUE,FALSE,FALSE,voice,,,,
menominee114,114,189,1831,Louis Pigeon (Tcik'wa),male,132,,132,1,2/4|3/4,TRUE,FALSE,FALSE,voice,Wa'bos (rabbit); manito' (spirit),,,The lyrics have been transcribed in the publication
menominee115,115,190,1830,Louis Pigeon (Tcik'wa),male,160,,160,1,2/4,TRUE,FALSE,FALSE,voice,Pina'u (partridge); teitei'koho (sounds),,,The lyrics have been transcribed in the publication
menominee116,116,191,1827,Louis Pigeon (Tcik'wa),male,112,,112,1,2/4|3/4|2/8,TRUE,FALSE,FALSE,voice,Pa'kitona' (open mouth),,irregular,The lyrics have been transcribed in the publication
menominee117,117,192,1828,Louis Pigeon (Tcik'wa),male,100,,100,1,2/4|3/4,TRUE,FALSE,FALSE,voice,mama'kako (frog); kakwu'nau (jumps),,irregular,The lyrics have been transcribed in the publication
